PeakID (cmd=annotatePeaks.pl reproducible_peaks_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr19-70	chr19	13155592	13155854	+	1	NA	TTS (ENST00000292433.4)	protein_coding-TTS (ENST00000292433.4)	-1530	ENST00000592882.1	ENSG00000267598	ENST00000592882			ENSG00000267598			lncRNA
chr19-6	chr19	41310252	41310514	+	1	NA	promoter-TSS (ENST00000596882.1)	protein_coding-promoter-TSS (ENST00000596882.1)	29	ENST00000651374.1	ENSG00000286177	ENST00000651374			ENSG00000286177			lncRNA
chr15-81	chr15	62832254	62832516	+	1	NA	exon (ENST00000558888.2, exon 2 of 2)	lncRNA-exon (ENST00000558888.2, exon 2 of 2)	3012	ENST00000558888.2	ENSG00000259370	ENST00000558888			ENSG00000259370			lncRNA
chr7-142	chr7	100101323	100101585	+	1	NA	promoter-TSS (ENST00000303887.10)	protein_coding-promoter-TSS (ENST00000303887.10)	-45	ENST00000463722.5	ENSG00000166508	ENST00000710815			MCM7			protein_coding
chr21-109	chr21	39666925	39667187	+	1	NA	exon (ENST00000380620.8, exon 5 of 5)	protein_coding-exon (ENST00000380620.8, exon 5 of 5)	9729	ENST00000380618.5	ENSG00000183778	ENST00000398714			B3GALT5			protein_coding
chr12-126	chr12	74871806	74872068	+	1	NA	Intergenic	Intergenic	-143086	ENST00000547218.1	ENSG00000257998	ENST00000547218			ENSG00000257998			processed_pseudogene
chr6-147	chr6	148191900	148192162	+	1	NA	Intergenic	Intergenic	-34947	ENST00000652976.1	ENSG00000287473	ENST00000652976			ENSG00000287473			lncRNA
chr3-1118	chr3	83218464	83218726	+	1	NA	Intergenic	Intergenic	-165850	ENST00000670186.1	ENSG00000288004	ENST00000670186			ENSG00000288004			lncRNA
chr1-200	chr1	223655177	223655439	+	1	NA	promoter-TSS (ENST00000467384.6)	protein_coding-promoter-TSS (ENST00000467384.6)	-909	ENST00000467384.6	ENSG00000203697	ENST00000366872			CAPN8			protein_coding
chr15-617	chr15	50228770	50229032	+	1	NA	intron (ENST00000544960.1, intron 8 of 10)	protein_coding-intron (ENST00000267842.10, intron 7 of 9)	7013	ENST00000363735.1	ENSG00000200605	ENST00000363735			Y_RNA			misc_RNA
chr10-82	chr10	29098888	29099150	+	1	NA	Intergenic	Intergenic	-190042	ENST00000375500.8	ENSG00000120563	ENST00000649382			LYZL1			protein_coding
chr21-50	chr21	38914836	38915098	+	1	NA	intron (ENST00000701127.1, intron 4 of 4)	lncRNA-intron (ENST00000380931.6, intron 2 of 3)	181	ENST00000440379.2	ENSG00000205622	ENST00000380931			ETS2-AS1			lncRNA
chr11-146	chr11	77994659	77994921	+	1	NA	promoter-TSS (ENST00000433818.6)	protein_coding-promoter-TSS (ENST00000433818.6)	-75	ENST00000695096.1	ENSG00000149262	ENST00000695308			INTS4			protein_coding
chr12-234	chr12	57632979	57633241	+	1	NA	promoter-TSS (ENST00000341156.9)	protein_coding-promoter-TSS (ENST00000341156.9)	41	ENST00000553142.5	ENSG00000135454	ENST00000552350			B4GALNT1			protein_coding
chr19-160	chr19	23075296	23075558	+	1	NA	intron (ENST00000593635.1, intron 1 of 2)	protein_coding-intron (ENST00000593635.1, intron 1 of 2)	216	ENST00000600223.1	ENSG00000267886	ENST00000600223			ENSG00000267886			lncRNA
chr9-21	chr9	37948020	37948282	+	1	NA	intron (ENST00000377707.4, intron 5 of 5)	protein_coding-intron (ENST00000377707.4, intron 5 of 5)	-11383	ENST00000515936.1	ENSG00000251745	ENST00000515936			RNU7-124P			snRNA
chr8-54	chr8	102807337	102807599	+	1	NA	promoter-TSS (ENST00000663613.1)	lncRNA-promoter-TSS (ENST00000663613.1)	-206	ENST00000670970.1	ENSG00000253669	ENST00000665815			GASAL1			lncRNA
chr12-10	chr12	58877247	58877509	+	1	NA	intron (ENST00000552646.1, intron 1 of 2)	protein_coding-intron (ENST00000320743.8, intron 15 of 18)	116	ENST00000552646.1	ENSG00000139263	ENST00000320743			LRIG3			protein_coding
chr3-45	chr3	128845874	128846136	+	1	NA	Intergenic	Intergenic	-1601	ENST00000498560.1	ENSG00000244065	ENST00000498560			MARK2P17			processed_pseudogene
chr1-333	chr1	228165953	228166215	+	1	NA	promoter-TSS (ENST00000366713.1)	lncRNA-promoter-TSS (ENST00000366713.1)	280	ENST00000366711.4	ENSG00000181873	ENST00000546123			IBA57			protein_coding
chr13-152	chr13	36870791	36871053	+	1	NA	intron (ENST00000379826.5, intron 3 of 6)	protein_coding-intron (ENST00000350148.10, intron 3 of 5)	8862	ENST00000399275.7	ENSG00000120693	ENST00000483941			SMAD9			protein_coding
chr5-46	chr5	42950459	42950721	+	1	NA	Intergenic	Intergenic	-22034	ENST00000503606.1	ENSG00000250711	ENST00000503606			PRELID3BP7			processed_pseudogene
chr2-101	chr2	263827	264089	+	1	NA	promoter-TSS (ENST00000272065.10)	protein_coding-promoter-TSS (ENST00000272065.10)	25	ENST00000471948.5	ENSG00000035115	ENST00000602998			SH3YL1			protein_coding
chr1-68	chr1	156471720	156471982	+	1	NA	intron (ENST00000475587.2, intron 6 of 8)	protein_coding-intron (ENST00000348159.9, intron 9 of 11)	7929	ENST00000493077.1	ENSG00000116604	ENST00000464356			MEF2D			protein_coding
chr3-189	chr3	125063074	125063336	+	1	NA	exon (ENST00000660549.1, exon 2 of 2)	lncRNA-exon (ENST00000660549.1, exon 2 of 2)	1757	ENST00000660549.1	ENSG00000288022	ENST00000660549			ENSG00000288022			lncRNA
chr2-339	chr2	156399419	156399681	+	1	NA	Intergenic	Intergenic	-35740	ENST00000415049.5	ENSG00000115159	ENST00000415049			GPD2			protein_coding
chr2-215	chr2	74457981	74458243	+	1	NA	promoter-TSS (ENST00000233615.7)	protein_coding-promoter-TSS (ENST00000233615.7)	-288	ENST00000393972.7	ENSG00000239779	ENST00000464774			WBP1			protein_coding
chr19-40	chr19	39111600	39111862	+	1	NA	TTS (ENST00000331256.10)	protein_coding-TTS (ENST00000331256.10)	12668	ENST00000601531.1	ENSG00000183760	ENST00000594229			ACP7			protein_coding
chr11-187	chr11	66421617	66421879	+	1	NA	intron (ENST00000525148.1, intron 1 of 6)	protein_coding-intron (ENST00000311034.7, intron 1 of 7)	657	ENST00000525148.1	ENSG00000174576	ENST00000311034			NPAS4			protein_coding
chr7-173	chr7	73832192	73832454	+	1	NA	exon (ENST00000340958.4, exon 1 of 1)	protein_coding-exon (ENST00000340958.4, exon 1 of 1)	1327	ENST00000340958.4	ENSG00000189143	ENST00000435050			CLDN4			protein_coding
chr1-3	chr1	152392953	152393215	+	1	NA	intron (ENST00000411804.1, intron 1 of 1)	lncRNA-intron (ENST00000411804.1, intron 1 of 1)	-6493	ENST00000453847.2	ENSG00000183586	ENST00000453847			HMGN3P1			processed_pseudogene
chr1-337	chr1	247078562	247078824	+	1	NA	promoter-TSS (ENST00000465049.6)	protein_coding-promoter-TSS (ENST00000465049.6)	43	ENST00000465049.6	ENSG00000135747	ENST00000474541			ZNF670-ZNF695			protein_coding
chr5-86	chr5	43042586	43042848	+	1	NA	exon (ENST00000399543.1, exon 1 of 2)	lncRNA-exon (ENST00000399543.1, exon 1 of 2)	428	ENST00000669102.1	ENSG00000215068	ENST00000701506			ANXA2R-AS1			lncRNA
chr17-619	chr17	83193695	83193957	+	1	NA	intron (ENST00000652318.1, intron 2 of 3)	lncRNA-intron (ENST00000651869.1, intron 2 of 3)	-5826	ENST00000691786.1	ENSG00000262898	ENST00000572343			ENSG00000262898			lncRNA
chr9-58	chr9	87726322	87726584	+	1	NA	promoter-TSS (ENST00000676480.1)	protein_coding-promoter-TSS (ENST00000676480.1)	-8	ENST00000676480.1	ENSG00000135047	ENST00000482054			CTSL			protein_coding
chr16-478	chr16	1611966	1612228	+	1	NA	promoter-TSS (ENST00000397412.8)	protein_coding-promoter-TSS (ENST00000397412.8)	-25	ENST00000426508.7	ENSG00000187535	ENST00000568837			IFT140			protein_coding
chr6-30	chr6	170280045	170280307	+	1	NA	TTS (ENST00000422894.5)	lncRNA-TTS (ENST00000422894.5)	3237	ENST00000438622.1	ENSG00000227508	ENST00000607074			LINC01624			lncRNA
chr3-85	chr3	129662966	129663228	+	1	NA	intron (ENST00000698215.1, intron 2 of 3)	protein_coding-intron (ENST00000393238.8, intron 5 of 6)	-6371	ENST00000510323.1	ENSG00000172765	ENST00000698215			TMCC1			protein_coding
chr6-629	chr6	33410058	33410320	+	1	NA	promoter-TSS (ENST00000374512.7)	protein_coding-promoter-TSS (ENST00000374512.7)	-210	ENST00000427004.5	ENSG00000112511	ENST00000486845			PHF1			protein_coding
chr7-172	chr7	73578136	73578398	+	1	NA	promoter-TSS (ENST00000432538.5)	protein_coding-promoter-TSS (ENST00000432538.5)	2	ENST00000459913.5	ENSG00000106638	ENST00000452475			TBL2			protein_coding
chr17-264	chr17	45131715	45131977	+	1	NA	promoter-TSS (ENST00000431281.5)	protein_coding-promoter-TSS (ENST00000431281.5)	669	ENST00000619929.5	ENSG00000161714	ENST00000611986			PLCD3			protein_coding
chr7-30	chr7	101973187	101973449	+	1	NA	intron (ENST00000606749.1, intron 1 of 4)	protein_coding-intron (ENST00000292535.12, intron 2 of 23)	13202	ENST00000606640.1	ENSG00000272219	ENST00000606640			ENSG00000272219			lncRNA
chr1-199	chr1	203861427	203861689	+	1	NA	promoter-TSS (ENST00000414487.7)	protein_coding-promoter-TSS (ENST00000414487.7)	-41	ENST00000414487.7	ENSG00000182004	ENST00000469451			SNRPE			protein_coding
chr12-45	chr12	52147474	52147736	+	1	NA	Intergenic	Intergenic	-16510	ENST00000640420.1	ENSG00000258279	ENST00000668114			LINC00592			lncRNA
chr7-91	chr7	33722420	33722682	+	1	NA	intron (ENST00000672453.1, intron 20 of 22)	protein_coding-intron (ENST00000672453.1, intron 20 of 22)	-3430	ENST00000311067.3	ENSG00000173862	ENST00000311067			ENSG00000173862			lncRNA
chr10-147	chr10	71970344	71970606	+	1	NA	intron (ENST00000373115.5, intron 1 of 2)	protein_coding-intron (ENST00000373115.5, intron 1 of 2)	6080	ENST00000373115.5	ENSG00000122863	ENST00000373115			CHST3			protein_coding
chr17-351	chr17	83155392	83155654	+	1	NA	intron (ENST00000652318.1, intron 2 of 3)	lncRNA-intron (ENST00000572343.1, intron 2 of 2)	11392	ENST00000572343.1	ENSG00000262898	ENST00000572343			ENSG00000262898			lncRNA
chr2-197	chr2	162582504	162582766	+	1	NA	intron (ENST00000332142.10, intron 2 of 15)	protein_coding-intron (ENST00000328032.8, intron 2 of 7)	-54275	ENST00000477019.1	ENSG00000184611	ENST00000328032			KCNH7			protein_coding
chr13-97	chr13	22979123	22979385	+	1	NA	Intergenic	Intergenic	47717	ENST00000635091.1	ENSG00000283075	ENST00000635091			ENSG00000283075			lncRNA
chr6-331	chr6	148747991	148748253	+	1	NA	intron (ENST00000367463.5, intron 1 of 7)	protein_coding-intron (ENST00000367463.5, intron 1 of 7)	1092	ENST00000367463.5	ENSG00000111962	ENST00000473631			UST			protein_coding
chr17-1848	chr17	8383588	8383850	+	1	NA	promoter-TSS (ENST00000578115.1)	protein_coding-promoter-TSS (ENST00000578115.1)	28	ENST00000689023.1	ENSG00000288750	ENST00000689023			ENSG00000288750			lncRNA
chr3-6	chr3	194003134	194003396	+	1	NA	intron (ENST00000667794.1, intron 1 of 1)	lncRNA-intron (ENST00000397645.2, intron 1 of 2)	371	ENST00000414309.1	ENSG00000214146	ENST00000665314			LINC02026			lncRNA
chr2-449	chr2	64524114	64524376	+	1	NA	promoter-TSS (ENST00000238856.8)	protein_coding-promoter-TSS (ENST00000238856.8)	-54	ENST00000695864.1	ENSG00000119844	ENST00000695960			AFTPH			protein_coding
chr11-4	chr11	118057881	118058143	+	1	NA	intron (ENST00000606951.5, intron 2 of 3)	protein_coding-intron (ENST00000527329.5, intron 3 of 3)	-9225	ENST00000607615.2	ENSG00000272075	ENST00000607615			RN7SL828P			misc_RNA
chr20-90	chr20	50237435	50237697	+	1	NA	Intergenic	Intergenic	-10077	ENST00000651976.1	ENSG00000224397	ENST00000692392			PELATON			lncRNA
chr16-196	chr16	29808095	29808357	+	1	NA	promoter-TSS (ENST00000562594.2)	lncRNA-promoter-TSS (ENST00000562594.2)	80	ENST00000568282.1	ENSG00000103495	ENST00000562337			MAZ			protein_coding
chr1-447	chr1	236399604	236399866	+	1	NA	intron (ENST00000642595.1, intron 1 of 7)	protein_coding-intron (ENST00000334232.9, intron 1 of 5)	4286	ENST00000642595.1	ENSG00000186197	ENST00000334232			EDARADD			protein_coding
chr16-112	chr16	68707903	68708165	+	1	NA	intron (ENST00000569080.2, intron 1 of 2)	protein_coding-intron (ENST00000569080.2, intron 1 of 2)	11890	ENST00000569117.1	ENSG00000062038	ENST00000569036			CDH3			protein_coding
chr20-2084	chr20	45329558	45329820	+	1	NA	intron (ENST00000372733.3, intron 4 of 4)	protein_coding-intron (ENST00000372733.3, intron 4 of 4)	13764	ENST00000622729.1	ENSG00000124232	ENST00000622729			RBPJL			protein_coding
chr1-118	chr1	227766284	227766546	+	1	NA	intron (ENST00000681678.1, intron 4 of 6)	protein_coding-intron (ENST00000315781.10, intron 3 of 5)	2676	ENST00000681252.1	ENSG00000143740	ENST00000470038			SNAP47			protein_coding
chr8-7	chr8	115939140	115939402	+	1	NA	Intergenic	Intergenic	83508	ENST00000362580.1	ENSG00000199450	ENST00000362580			RNA5SP276			rRNA_pseudogene
chr4-24	chr4	1365758	1366020	+	1	NA	promoter-TSS (ENST00000511563.5)	protein_coding-promoter-TSS (ENST00000511563.5)	-188	ENST00000511563.5	ENSG00000163945	ENST00000511216			UVSSA			protein_coding
chr1-508	chr1	182604146	182604408	+	1	NA	exon (ENST00000367558.6, exon 1 of 5)	protein_coding-exon (ENST00000367558.6, exon 1 of 5)	112	ENST00000367558.6	ENSG00000143333	ENST00000367558			RGS16			protein_coding
chr11-194	chr11	69675209	69675471	+	1	NA	promoter-TSS (ENST00000279147.9)	protein_coding-promoter-TSS (ENST00000279147.9)	4	ENST00000538554.6	ENSG00000149716	ENST00000535657			LTO1			protein_coding
chr2-193	chr2	120399254	120399516	+	1	NA	Intergenic	Intergenic	53249	ENST00000295228.4	ENSG00000163083	ENST00000295228			INHBB			protein_coding
chr13-3	chr13	49247756	49248018	+	1	NA	promoter-TSS (ENST00000251108.10)	protein_coding-promoter-TSS (ENST00000251108.10)	-38	ENST00000251108.10	ENSG00000102543	ENST00000484126			CDADC1			protein_coding
chr19-15	chr19	54115551	54115813	+	1	NA	promoter-TSS (ENST00000321030.9)	protein_coding-promoter-TSS (ENST00000321030.9)	-25	ENST00000391759.6	ENSG00000105619	ENST00000420715			TFPT			protein_coding
chr2-13	chr2	73071672	73071934	+	1	NA	promoter-TSS (ENST00000272433.7)	protein_coding-promoter-TSS (ENST00000272433.7)	-75	ENST00000416579.5	ENSG00000144040	ENST00000464825			SFXN5			protein_coding
chr3-38	chr3	128153229	128153491	+	1	NA	promoter-TSS (ENST00000254730.11)	protein_coding-promoter-TSS (ENST00000254730.11)	-121	ENST00000254730.11	ENSG00000132394	ENST00000483569			EEFSEC			protein_coding
chr15-70	chr15	52678514	52678776	+	1	NA	promoter-TSS (ENST00000261844.11)	protein_coding-promoter-TSS (ENST00000261844.11)	-22	ENST00000261844.11	ENSG00000047346	ENST00000534964			ATOSA			protein_coding
chr15-6	chr15	74546232	74546494	+	1	NA	intron (ENST00000566147.1, intron 1 of 2)	protein_coding-intron (ENST00000346246.10, intron 2 of 8)	2013	ENST00000566147.1	ENSG00000179361	ENST00000569680			ARID3B			protein_coding
chr18-5	chr18	12407930	12408192	+	1	NA	intron (ENST00000590956.5, intron 1 of 5)	protein_coding-intron (ENST00000336990.8, intron 1 of 6)	113	ENST00000589565.1	ENSG00000141391	ENST00000336990			PRELID3A			protein_coding
chr7-109	chr7	148339287	148339549	+	1	NA	promoter-TSS (ENST00000463592.3)	protein_coding-promoter-TSS (ENST00000463592.3)	-43	ENST00000463592.3	ENSG00000174469	ENST00000637825			CNTNAP2			protein_coding
chr8-268	chr8	90645123	90645385	+	1	NA	exon (ENST00000418210.2, exon 1 of 2)	protein_coding-exon (ENST00000418210.2, exon 1 of 2)	258	ENST00000422900.1	ENSG00000180694	ENST00000519519			TMEM64			protein_coding
chr3-69	chr3	123605204	123605466	+	1	NA	intron (ENST00000702298.1, intron 2 of 3)	lncRNA-intron (ENST00000463408.1, intron 1 of 1)	10318	ENST00000692507.1	ENSG00000065534	ENST00000686388			MYLK			protein_coding
chr1-22	chr1	234963241	234963503	+	1	NA	promoter-TSS (ENST00000423175.2)	lncRNA-promoter-TSS (ENST00000423175.2)	8	ENST00000423175.2	ENSG00000238005	ENST00000458044			LNCATV			lncRNA
chr3-935	chr3	150703797	150704059	+	1	NA	promoter-TSS (ENST00000295910.11)	protein_coding-promoter-TSS (ENST00000295910.11)	4	ENST00000474463.5	ENSG00000163645	ENST00000491361			ERICH6			protein_coding
chr8-364	chr8	66190927	66191189	+	1	NA	Intergenic	Intergenic	-1035	ENST00000518412.1	ENSG00000253138	ENST00000517725			LINC00967			lncRNA
chr19-305	chr19	39833851	39834113	+	1	NA	promoter-TSS (ENST00000593685.5)	protein_coding-promoter-TSS (ENST00000593685.5)	170	ENST00000601972.1	ENSG00000105204	ENST00000601972			DYRK1B			protein_coding
chr5-203	chr5	43469695	43469957	+	1	NA	intron (ENST00000512085.5, intron 1 of 3)	protein_coding-intron (ENST00000397080.8, intron 1 of 2)	14010	ENST00000500337.6	ENSG00000151881	ENST00000512085			TMEM267			protein_coding
chr1-443	chr1	225777532	225777794	+	1	NA	promoter-TSS (ENST00000304786.12)	protein_coding-promoter-TSS (ENST00000304786.12)	-150	ENST00000626563.2	ENSG00000143742	ENST00000650651			SRP9			protein_coding
chr6-109	chr6	7969376	7969638	+	1	NA	intron (ENST00000439343.2, intron 4 of 12)	protein_coding-intron (ENST00000439343.2, intron 4 of 12)	-17030	ENST00000460661.1	ENSG00000219294	ENST00000460661			PIP5K1P1			processed_pseudogene
chr1-136	chr1	26695537	26695799	+	1	NA	promoter-TSS (ENST00000324856.13)	protein_coding-promoter-TSS (ENST00000324856.13)	-347	ENST00000324856.13	ENSG00000117713	ENST00000457599			ARID1A			protein_coding
chr15-193	chr15	38251832	38252094	+	1	NA	promoter-TSS (ENST00000299084.9)	protein_coding-promoter-TSS (ENST00000299084.9)	-873	ENST00000299084.9	ENSG00000166068	ENST00000561317			SPRED1			protein_coding
chr1-88	chr1	39988674	39988936	+	1	NA	Intergenic	Intergenic	21186	ENST00000481612.1	ENSG00000168389	ENST00000481612			MFSD2A			protein_coding
chr16-125	chr16	84475615	84475877	+	1	NA	TTS (ENST00000343629.11)	protein_coding-TTS (ENST00000343629.11)	-8385	ENST00000565700.1	ENSG00000261286	ENST00000565700			ATP2C2-AS1			lncRNA
chr17-154	chr17	75667141	75667403	+	1	NA	promoter-TSS (ENST00000293208.13)	protein_coding-promoter-TSS (ENST00000293208.13)	21	ENST00000583170.5	ENSG00000161526	ENST00000580322			SAP30BP			protein_coding
chr8-134	chr8	56074420	56074682	+	1	NA	promoter-TSS (ENST00000009589.8)	protein_coding-promoter-TSS (ENST00000009589.8)	-41	ENST00000521262.5	ENSG00000008988	ENST00000521262			RPS20			protein_coding
chr11-82	chr11	118929573	118929835	+	1	NA	intron (ENST00000534788.1, intron 1 of 5)	protein_coding-intron (ENST00000534788.1, intron 1 of 5)	-1512	ENST00000471754.3	ENSG00000239726	ENST00000471754			RN7SL688P			misc_RNA
chr2-735	chr2	65432599	65432861	+	1	NA	promoter-TSS (ENST00000356388.9)	protein_coding-promoter-TSS (ENST00000356388.9)	-93	ENST00000440972.1	ENSG00000198369	ENST00000356388			SPRED2			protein_coding
chr3-347	chr3	12664071	12664333	+	1	NA	promoter-TSS (ENST00000251849.9)	protein_coding-promoter-TSS (ENST00000251849.9)	-1	ENST00000684903.1	ENSG00000132155	ENST00000691396			RAF1			protein_coding
chr4-37	chr4	1615114	1615376	+	1	NA	Intergenic	Intergenic	29708	ENST00000467215.1	ENSG00000174137	ENST00000489363			FAM53A			protein_coding
chr1-159	chr1	155562943	155563205	+	1	NA	promoter-TSS (ENST00000368346.7)	protein_coding-promoter-TSS (ENST00000368346.7)	18	ENST00000679097.1	ENSG00000116539	ENST00000677992			ASH1L			protein_coding
chr5-230	chr5	180831005	180831267	+	1	NA	promoter-TSS (ENST00000501937.2)	lncRNA-promoter-TSS (ENST00000501937.2)	-36	ENST00000661444.1	ENSG00000245060	ENST00000501855			LINC00847			lncRNA
chr5-14	chr5	37379106	37379368	+	1	NA	promoter-TSS (ENST00000265107.9)	protein_coding-promoter-TSS (ENST00000265107.9)	-48	ENST00000504564.1	ENSG00000082068	ENST00000504564			WDR70			protein_coding
chr16-433	chr16	30115337	30115599	+	1	NA	intron (ENST00000490298.5, intron 8 of 8)	protein_coding-intron (ENST00000263025.9, intron 8 of 8)	531	ENST00000494643.1	ENSG00000102882	ENST00000478356			MAPK3			protein_coding
chr20-415	chr20	63682602	63682864	+	1	NA	intron (ENST00000647249.1, intron 1 of 2)	protein_coding-intron (ENST00000318100.9, intron 13 of 33)	196	ENST00000647249.1	ENSG00000258366	ENST00000684971			RTEL1			protein_coding
chr17-1864	chr17	45425675	45425937	+	1	NA	promoter-TSS (ENST00000376922.6)	protein_coding-promoter-TSS (ENST00000376922.6)	-175	ENST00000376922.6	ENSG00000159314	ENST00000524404			ARHGAP27			protein_coding
chr6-641	chr6	37059415	37059677	+	1	NA	Intergenic	Intergenic	14686	ENST00000620597.2	ENSG00000226976	ENST00000620597			COX6A1P2			processed_pseudogene
chr16-197	chr16	30805414	30805676	+	1	NA	Intergenic	Intergenic	-10485	ENST00000612622.1	ENSG00000274848	ENST00000612622			Metazoa_SRP			misc_RNA
chr13-139	chr13	93727453	93727715	+	1	NA	intron (ENST00000377047.9, intron 2 of 8)	protein_coding-intron (ENST00000377047.9, intron 2 of 8)	108560	ENST00000445540.1	ENSG00000224394	ENST00000445540			GPC6-AS2			lncRNA
chr2-157	chr2	190417286	190417548	+	1	NA	intron (ENST00000392328.6, intron 2 of 7)	protein_coding-intron (ENST00000392328.6, intron 2 of 7)	9062	ENST00000417958.5	ENSG00000151690	ENST00000392328			MFSD6			protein_coding
chr20-113	chr20	58651059	58651321	+	1	NA	promoter-TSS (ENST00000312283.12)	protein_coding-promoter-TSS (ENST00000312283.12)	-82	ENST00000355957.9	ENSG00000124222	ENST00000496117			STX16			protein_coding
chr2-36	chr2	127226700	127226962	+	1	NA	Intergenic	Intergenic	-6518	ENST00000409327.2	ENSG00000186684	ENST00000664447			CYP27C1			protein_coding
chr13-52	chr13	22107600	22107862	+	1	NA	intron (ENST00000659301.1, intron 1 of 1)	lncRNA-intron (ENST00000611481.1, intron 1 of 1)	132	ENST00000659301.1	ENSG00000276476	ENST00000656522			LINC00540			lncRNA
chr18-9	chr18	9849621	9849883	+	1	NA	intron (ENST00000580795.1, intron 1 of 1)	protein_coding-intron (ENST00000435762.2, intron 2 of 2)	156	ENST00000580795.1	ENSG00000168461	ENST00000577796			RAB31			protein_coding
chr6-220	chr6	113971131	113971393	+	1	NA	promoter-TSS (ENST00000368632.6)	protein_coding-promoter-TSS (ENST00000368632.6)	-105	ENST00000368632.6	ENSG00000196591	ENST00000519108			HDAC2			protein_coding
chr3-65	chr3	184565691	184565953	+	1	NA	intron (ENST00000330394.3, intron 1 of 15)	protein_coding-intron (ENST00000330394.3, intron 1 of 15)	4037	ENST00000330394.3	ENSG00000182580	ENST00000482987			EPHB3			protein_coding
chr9-73	chr9	134357000	134357262	+	1	NA	intron (ENST00000481739.2, intron 1 of 9)	protein_coding-intron (ENST00000481739.2, intron 1 of 9)	-14840	ENST00000356384.4	ENSG00000186350	ENST00000481739			RXRA			protein_coding
chr7-376	chr7	132251319	132251581	+	1	NA	intron (ENST00000359827.7, intron 4 of 31)	protein_coding-intron (ENST00000321063.9, intron 4 of 31)	-12702	ENST00000445459.2	ENSG00000225144	ENST00000445459			ENSG00000225144			lncRNA
chr7-829	chr7	74279756	74280018	+	1	NA	TTS (ENST00000661689.2)	lncRNA-TTS (ENST00000661689.2)	9420	ENST00000661689.2	ENSG00000287815	ENST00000661689			ENSG00000287815			lncRNA
chr5-439	chr5	149345430	149345692	+	1	NA	promoter-TSS (ENST00000329271.8)	protein_coding-promoter-TSS (ENST00000329271.8)	-58	ENST00000507562.1	ENSG00000164284	ENST00000513661			GRPEL2			protein_coding
chr12-84	chr12	71686290	71686552	+	1	NA	promoter-TSS (ENST00000549735.5)	protein_coding-promoter-TSS (ENST00000549735.5)	-75	ENST00000549735.5	ENSG00000139291	ENST00000546677			TMEM19			protein_coding
chr16-473	chr16	278948	279210	+	1	NA	intron (ENST00000412541.5, intron 1 of 1)	lncRNA-intron (ENST00000412541.5, intron 1 of 1)	-1371	ENST00000447871.5	ENSG00000242173	ENST00000414650			ARHGDIG			protein_coding
chr14-166	chr14	64704150	64704412	+	1	NA	promoter-TSS (ENST00000247226.13)	protein_coding-promoter-TSS (ENST00000247226.13)	-143	ENST00000247226.13	ENSG00000126822	ENST00000554499			PLEKHG3			protein_coding
chr10-417	chr10	114544343	114544605	+	1	NA	intron (ENST00000707119.1, intron 6 of 20)	protein_coding-intron (ENST00000369256.6, intron 6 of 23)	-17543	ENST00000392952.7	ENSG00000099204	ENST00000651092			ABLIM1			protein_coding
chr7-161	chr7	159013315	159013577	+	1	NA	intron (ENST00000447563.5, intron 1 of 3)	lncRNA-intron (ENST00000438049.5, intron 1 of 4)	-3962	ENST00000413238.1	ENSG00000231419	ENST00000447563			LINC00689			lncRNA
chr11-87	chr11	68413626	68413888	+	1	NA	TTS (ENST00000528714.1)	protein_coding-TTS (ENST00000528714.1)	3728	ENST00000528714.1	ENSG00000162337	ENST00000528890			LRP5			protein_coding
chr5-66	chr5	111092121	111092383	+	1	NA	promoter-TSS (ENST00000505303.5)	protein_coding-promoter-TSS (ENST00000505303.5)	-69	ENST00000505303.5	ENSG00000134987	ENST00000505303			WDR36			protein_coding
chr1-48	chr1	47478185	47478447	+	1	NA	Intergenic	Intergenic	5846	ENST00000604764.1	ENSG00000271355	ENST00000604764			ENSG00000271355			processed_pseudogene
chr21-46	chr21	34845779	34846041	+	1	NA	intron (ENST00000651798.1, intron 1 of 1)	protein_coding-intron (ENST00000300305.7, intron 5 of 7)	9023	ENST00000701892.1	ENSG00000286153	ENST00000651798			RUNX1-AS1			lncRNA
chr18-32	chr18	9475013	9475275	+	1	NA	promoter-TSS (ENST00000383432.8)	protein_coding-promoter-TSS (ENST00000383432.8)	135	ENST00000019317.8	ENSG00000017797	ENST00000383432			RALBP1			protein_coding
chr9-154	chr9	94030888	94031150	+	1	NA	promoter-TSS (ENST00000650567.1)	protein_coding-promoter-TSS (ENST00000650567.1)	-8	ENST00000650567.1	ENSG00000158079	ENST00000650567			PTPDC1			protein_coding
chr2-153	chr2	121649444	121649706	+	1	NA	promoter-TSS (ENST00000263710.8)	protein_coding-promoter-TSS (ENST00000263710.8)	-46	ENST00000662168.1	ENSG00000236859	ENST00000414554			NIFK-AS1			lncRNA
chr3-8	chr3	9363003	9363265	+	1	NA	promoter-TSS (ENST00000345094.7)	protein_coding-promoter-TSS (ENST00000345094.7)	36	ENST00000515662.6	ENSG00000134077	ENST00000345094			THUMPD3			protein_coding
